category,total_spend,YYYY
Cleaning Materials Purchases,54470.1,2011
Bmf Reroofing,35809.62,2014
Traffic Signals and Systems Non-Planned Maint.,119341.62,2014
Fencing,35449.62,2011
Highway Traffic Signals and Systems Energy,59881.98,2014
Child In Care Family Unit,525547.3,2011
Other Operational Equipment-Purchase,128408.68,2011
Highway Winter Ice Prediction Service Charge,81751.8,2012
Other (Photos Etc),117410.36,2012
Site Invest/Surveys,357154.66,2011
Pension Fund Deficit Payment,486500,2011
Child In Care Education Costs,1564,2014
General,36130,2011
Newspaper Filming,17946.64,2014
Admin & Clerical - Scale A to J,222937,2011
Building Alterations & Improvements,734866.32,2013
Electrical & Mechanical Maintenance.,287949.88,2012
Purchase of Care - Unspecified,4480,2012
Kinship Care Allowance,4220,2011
Purchase Of Vehicles over 20K,4435086.14,2011
Private Contractor Catering Payments,349391.34,2012
Placement Cost-Medical Fee,34594,2011
Contract Cleaning - Ex Work,5967.6,2011
Homelessness Support Child In Need,22229.44,2014
Other Local Authorities,715940.26,2011
Support Services,126357.66,2012
Internal Recharge Environment Transport & Development,119790.44,2011
Care Leavers Rent & Accommodation,746534.339999999,2014
"Certificate - Electricity, Power & Light",306352.06,2014
Vehicle Repair Costs,99553.78,2011
Personal Budget - Respite Residential Care,371786.44,2011
Internal Redecoration,34322,2011
Highway Illuminated Sign Non-Routine Maintenance,72021.32,2014
Homelessness Section 17,12160.86,2011
Highway Pothole Repairs,210313.24,2011
Estate / Site Management Costs,865264.54,2014
Purchase Of Books,1774.4,2014
Health & Safety At Work Act,969.8,2012
Child In Care Nursing Care Home,184580.32,2011
Admin/ Chief Officers - Scale K and Above,380976.42,2011
Bmpp Swimming Pool Plant,10653.28,2014
Fire Service Radio Equipment - Running Costs,106656.18,2011
Estate-Improvements,28262.88,2011
Child In Care Residential School 52 Week Out Of Norfolk,2364727.02,2013
Highway Traffic Signals and Systems Planned and Contracted Maintenance,1235088.14,2011
Bmf Repair & Replacement Of Light,196042.72,2013
Child In Care Short Term Break,6880,2012
CONSTR COSTS - M&E OTHER,10085291.1,2011
ICT Other Running Costs,4124632.82,2013
Highway Winter Gritting,180561.76,2013
Bmf External Redecoration,95532.14,2013
"Broadband, Virtual Private Network & Leased Lines",464222.12,2014
Accreditation Scheme Payments,7046247.7,2011
Adult Placement Scheme,70775.6,2012
Highway Traffic Signals and Systems Non-Planned Maintenance,158047.96,2011
Purchase Of Land,7224000,2013
Building Repairs,1372071.46,2012
Canteen Equipment - Purchase,12735.6,2011
Purchase Of Furniture,148013.36,2014
Direct Payments - Short Term Break,13541.3,2014
Block Gross N Chargeable Supporting People,364134.72,2011
Members Conference Expenses-Other,750,2014
Bmpp Swimming Pool Maintenance,11851.98,2013
Library Books - Electronic Subscriptions,149087.14,2012
Services Provided By Landlord,484817.5,2012
Alterations To Service - Telecom,63889.44,2011
Interpreters,18688.8,2011
Interpreters/Translators,9091.62,2011
Vehicle Insurance,-19818.94,2013
Foster Parents Payments,3688539.46000002,2012
Child In Care Residential Home Out Of Norfolk,8531336.58000001,2013
Linen & Laundry,43543.14,2011
Fees/Expenses - Other Consultants,818231.3,2011
Office Equipment & Supplies,484670.12,2013
Highway Street Lighting Energy,3082719.36,2014
Books and Publications,166156.28,2013
Electricity,2339661.34,2012
Free Nursing Care,2795713.63999986,2011
Modifications - Computer Lines,19956.66,2011
Entertainment of Council Guests,976,2011
Bmf Building Repairs,205119.82,2014
Domiciliary Care,41656102.5999996,2013
Vehicles Purchases,219661.84,2013
Residence Order Allowance,10313.5,2013
Services Provided By Landlord,683582.48,2011
Alterations To Service - Telecom,131690.92,2012
Interpreters,7478.76,2012
Library Books - Electronic Subscriptions,70574,2011
Bmf Building Work,95571.26,2012
Legal Fees,115915.5,2013
Building Repairs,2192186.38,2011
Swimming & Games Facilities,98355.54,2014
Highway Traffic Signals and Systems Non-Planned Maintenance,164006.24,2012
Adult Placement Scheme,199305.2,2011
Accreditation Scheme Payments,7295926.24,2012
Free Nursing Care,636440.139999999,2012
Bmf Gas Pressure Testing,12270.92,2013
Electricity,3713869.98,2011
Long Term Care with Nursing,17350743.4399994,2014
Computer Hardware Purchase,8524,2011
Buildings - Internal Redecoration,22327.1,2013
Construction Costs -Roads - ECI - May Gurney,530477.28,2013
Other Cntrcted Servs,982.2,2011
Photographic Equipment,1277.36,2011
Foster Parents Payments,3528818.74000005,2011
On-Line Bank Charges,28774.8,2014
Other Travel Expenses,11849.64,2013
Other Support Costs,24149.36,2013
Linen & Laundry,46718.22,2012
Office & Equipment - Purchase,5591.92,2011
Agency Staff - Operational APT&C,9025915.42000001,2014
Bmpp Fire Alarms,135207.32,2014
Highway Winter Salt Usage,1303158.94,2014
Royalty Fees,1320.68,2011
Contract Transport  Hire,36100535.9999998,2014
Purchase Of Software Licences,16292.3,2011
Support Services,651278.339999999,2011
Private Contractor Subsidy Payments,7015438.59999999,2013
Internal Redecoration,263003.4,2012
Workshop Equipment Testing,4439.24,2011
Personal Budget - Respite Residential Care,444147.74,2012
Vehicle Repair Costs,62484.98,2012
Bmpp Gas Appliances & Repairs Test,58904.2400000001,2014
Hire Car Park Attendants,306130.6,2011
Private Contractor Catering Payments,7373081.59999999,2011
Purchase Of Vehicles over 20K,1918789.92,2012
Alterations To Service - Electricity,884221.3,2014
Agency Staff - Operational Hay & M,330350.16,2014
CONSTR COSTS - M&E OTHER,2357960.9,2012
Intelligent Transport System -  Signal Design Fees,92.36,2011
Construction Cost-Adaptation/Improvement Building,54192798.66,2013
Highway Traffic Signals and Systems Planned and Contracted Maintenance,1014385.62,2012
Supply Teachers Insurance Fund,11638,2011
Short Term Residential Care,3654777.08000001,2013
Stamp Duty / Legal Expenses,16974,2012
Bmf Minor Building Repairs,117547.4,2013
Highway Surveys C Roads,68705.4,2013
Highway Pothole Repairs,161001.36,2012
Fire Service Radio Equipment - Running Costs,151216.56,2012
Admin/ Chief Officers - Scale K and Above,181555.08,2012
Customer Research & Insight,47937,2014
Child In Care Nursing Care Home,273927.56,2012
Children's Pens,4040.52,2012
Members Conference Expenses-Other,2000,2012
Internal Recharge Other Appointed Costs,47988.64,2011
Library Books-Adult Non Fiction,263168.42,2013
Support Staff Overtime,42837.68,2012
Library Books - Electronic Subscriptions,144021,2014
Services Provided By Landlord,202343.58,2014
Non Pension Payments,227109.92,2012
Agency Staff - Catering Staff,146.44,2011
Operational Staff Overtime,-697.4,2011
Additional Furniture & Equipment,1462.88,2011
Other Newspaper/Periodicals,61139.14,2013
Minor Building Repairs,732114.12,2012
Operational - Manual,-98.56,2013
Swimming & Games Facilities,252060.72,2011
Purchase Of Furniture,115032.18,2012
Direct Payments - Short Term Break,8461.28,2012
Long Term Care with Nursing,25774165.2599997,2011
Highway Street Lighting Energy,3085629.46,2012
Electricity,1813527.84,2014
"Non Staff Course, Conference & Subsistence Expenses",329955.9,2014
Bmf Building Repairs,153337.98,2012
Surveys - General,1210,2011
Substance Misuse Budget,1020142.2,2011
On-Line Bank Charges,54811.28,2011
Maintenance Of Site,90172.84,2011
Foster Parents Payments,3012386.53999997,2014
Agency Staff - Operational APT&C,1819772.02,2011
Default,3015.56,2011
Staff Training Costs,876596.599999999,2013
Support Services,6480,2014
Contract Transport  Hire,48744304.92,2011
Purchase Of Software Licences,4790,2014
Care Leavers Rent & Accommodation,741266.9,2012
Construction Costs - Imtech,400905.9,2014
Pension Lump Sum ILL Health & Injury,96649.98,2011
Highway Winter Salt Usage,1560893.18,2011
Other Miscellaneous Expenses,338554.08,2011
Waste Disposal & Recycling Payments,3904.56,2012
Highway Illuminated Sign Non-Routine Maintenance,71887.7,2012
Bmpp Tank Clean/Water System Disinf,189519.2,2013
Private Contractor Catering Payments,0,2014
Homelessness Support Child In Need,101662.64,2012
Agency Staff - Operational Hay & M,53161.68,2011
Alterations To Service - Electricity,143077.56,2011
Architects Fees,50631.2,2013
Child In Care Short Term Break,45201,2014
Books,3067.3,2011
Certificate - Building Fabric,697951.76,2013
Estate / Site Management Costs,1677107,2012
Purchase Of Books,20894.14,2012
Customer Research & Insight,179294,2011
"ICT Software Purchases, Licenses & Maintenance",161991.34,2013
Bmpp Swimming Pool Plant,13372.8,2012
Audit Fees - Accounts,7000,2011
Bmpp Gas Appliances & Repairs Test,20815.04,2012
Cleaning & Domestic Equipment-Purchase,18660.34,2011
Direct Payment - Respite Residential Care,11529.12,2013
Purchase Of Vehicles over 20K,1948302.28,2014
Payments-Other Bodies-General,184561.78,2011
Alterations To Service - Electricity,515924.64,2012
Staff Public Transport Costs,408479.64,2013
Homelessness Support Child In Need,101360.94,2011
Agency Staff - Operational Hay & M,350683.9,2012
Pension Lump Sum ILL Health & Injury,68852.7,2012
Highway Winter Salt Usage,1483287.94,2012
Bmpp Fire Alarms,42524.68,2012
Care Leavers Rent & Accommodation,756005.28,2011
Contract Transport  Hire,38969718.8200002,2012
Bmf Security Systems,104626.92,2013
Highway Patching to Footway,1460922.4,2013
Highway Illuminated Sign Non-Routine Maintenance,89087.08,2011
Personal Budget - Respite Residential Care,492946.66,2014
Vehicle Repair Costs,137014.22,2014
Waste Disposal & Recycling Payments,5706358.72,2011
Purchase Of Books,23411.34,2011
Estate / Site Management Costs,2563247.08,2011
Highway Pothole Repairs,80934.7,2014
Audit Fees - Accounts,15000,2012
Training Equipment,58988.2,2011
Fire Service Radio Equipment - Running Costs,273093.86,2014
Admin/ Chief Officers - Scale K and Above,167.82,2014
Customer Research & Insight,18939.2,2012
Bmf Electrical Rewiring,82632.08,2013
CONSTR COSTS - M&E OTHER,2954050.44,2014
Highway Winter Weather Forecast Service Charge,43200,2013
Agency,260893.96,2013
Bmf Internal Redecoration,87938.42,2013
Bmpp Lifts Maintenance & Repairs,13003.94,2013
Highway Traffic Signals and Systems Planned and Contracted Maintenance,229069.86,2014
ICT Equipment Purchases,4574687.86,2013
Members Conference Expenses Travel/Subsistence,214,2011
Internal Trading Units,119858,2013
Bmf Swimming Pool Plant,1806.1,2013
Purchase Of Furniture,1051457.96,2011
Swimming & Games Facilities,180340.2,2012
Highway Traffic Signals and Systems Non-Planned Maintenance,14111.34,2014
Accreditation Scheme Payments,5549544.85999999,2014
Minor Building Repairs,979114.84,2011
Internal Recharge Other Appointed Costs,6764.84,2012
Members Conference Expenses-Other,1080,2011
Free Nursing Care  - High Band,36273,2013
Non Pension Payments,26183,2011
Alterations To Service - Telecom,909506.86,2014
Interpreters,8073.92,2014
Bmf Building Work,211787.42,2014
Buildings - External Redecoration,5945.58,2013
Purchase Nursing Preserved Rights,287830.7,2011
On-Line Bank Charges,64987.8,2012
Furniture Purchases,212746.9,2013
SLA With Organisations Providing Services to NCC,4386534.9,2014
Default,5944.62,2012
"Awards Or Grants For School Children, Students & Learners",25740,2013
Agency Staff - Operational APT&C,3579981.52,2012
Escorts (Home to School Transport),4816,2013
Free Nursing Care,702711.26,2014
Personal Budget - Domiciliary Care,4450317.02000002,2013
Long Term Care with Nursing,23602056.9799986,2012
Highway Street Lighting Energy,2951610.66,2011
General Maintenance,22081.14,2011
Canteen Equipment - Repairs,15076.34,2011
Personal Needs Of Client,8502,2011
Child In Care Residential School 52 Week In Norfolk,2832539.76,2013
Bmpp Structural Builidng Work,50430.24,2012
Bank Charges,20942.12,2014
Highway Road Markings,251850.26,2014
Purchase Of Buildings,1120,2011
Accommodation Works Land,1300,2013
Schedule of Rates Vehicle Maintenance,864588.3,2013
Compulsory Purchase Order Inquiry Costs,464.56,2011
Landfill Leachate Costs,466279.12,2013
Care Leavers-Education/Training,38024.3,2013
Fire Service Feeding At Fires,18516.94,2012
Caretakers,28823.98,2011
Housing Related Support-Other Bodies,3280171.26,2013
Witnesses Expenses and Reports,80015.64,2014
Supply Teachers,13713.38,2012
Care Leavers Personal Allowance/Support,13395.1,2011
School Equipment Inspection/Testing,318592.159999999,2011
Cost of Licenses & Subscriptions,296276.36,2014
Mgt Fees - Gen,441219.58,2012
Buildings Fixtures & Fittings,71376.42,2013
Subscriptions To Other Libraries,19259.24,2011
DVD'S,252462.84,2013
Counsel's Fees,336805.26,2014
Conservation Material,5234.84,2011
Compact Discs,37340.76,2012
Library Books - Junior Non Fiction,51491.54,2011
Equipment Leasing Costs,9313.1,2013
Direct Payment - Day Care Services / Supported Activities,2854.02,2012
Providing Financial Assistance to Service Users,76765.48,2012
Premises Staff Overtime,25496,2011
Management Fees - Performance,1944166.9,2014
Patching - Fen Road,326147.36,2013
V.D.P. Publicity,480,2011
Section 17 Financial Assistance,5891.28,2014
Phone Equipment,3870.6,2012
Site Works - Land,235583.08,2013
Vehicle Fuel,833227.14,2012
Hire Of Premises,283437.24,2011
Highway Winter Snow Clearing,33326.98,2012
Operational Hay & M,1235.96,2011
Staff Medical & Eyesight  Fees,595257.3,2014
Equipment Purchases For Service Users,1813700.14,2012
RCHG Vehicles Hired from a Central Pool,8317.1,2012
ICT Software Purchases Licenses & Maintenance,3371405.14,2011
Supporting Families with Disabilities - Domiciliary Care,34504.58,2013
Bmpp Reroofing,59770.62,2014
Fees & Charges,2742001.07999999,2012
New Fund Mngr Selection,157915.88,2012
Care Leavers Independent Living Grant,22571.7,2013
Room Hire,17342.74,2011
Children At Home On Care Orders,3000,2011
Campaign Expenses,1320,2011
Court Caretaker-Justice Assistant,3922,2011
Manuscripts,13314.8,2011
Bmpp Gas Pressure Testing,9824.82,2014
Cost of Educational Visits and Games,26724.14,2012
Cleaning Materials Purchases,15130.04,2014
Other Professional Services,1691039.58,2013
Child In Care Residential School 38 Week In Norfolk,83759,2013
Foster Carer Allowance Special Purposes,5020,2013
Bmpp Plant Replacements,193049.24,2014
External Examinations Fees,274530.08,2013
Highway Traffic Signals and Systems Energy,363702.38,2011
Newspaper Filming,8707,2011
Child In Care Education Costs,8963.2,2011
Construction Roads - Eci - Lafarge,30029.9,2014
Adoption Allowance Payments,209326.34,2012
Site Invest/Surveys,163733.92,2014
Pension Fund Deficit Payment,636000,2014
Actuarial Fees - Gen,222850,2012
Non Staff Advertising - Discretionary,781616.14,2013
Admin & Clerical - Scale A to J,70789.72,2014
Bmpp Electrical & Mechanical Maintenance,30479.1,2012
Refund Of Contributions,153649.66,2012
Consultants Fees - Environmental,4618.54,2013
Allowance For Special Purposes,9666.28,2011
Water Services,8911.42,2011
Purchase Residential Preserved Rights,3310202.9,2011
Cost of Educational Visits and Games,60490.84,2011
Fees & Charges,6868467.37999998,2011
New Fund Mngr Selection,59742.08,2011
Work Centre Materials,122465.8,2011
Rents and Hire of Premises & Facilities,962952.119999999,2014
Other Vehicles Running Costs,89107.82,2014
Contract Overheads,3437884.6,2013
ICT Software Purchases Licenses & Maintenance,3031606.3,2012
Equipment Purchases For Service Users,1914516,2011
Water and Sewerage Costs,304831.34,2013
Air Travel,21719.78,2011
Other (Photos Etc),31683.94,2014
Adoption Allowance Payments,213275.34,2011
Broadband Virtual Private Network & Leased Lines,674557.58,2013
Work In Progress,658.26,2011
Newspaper Filming,14009.48,2012
Actuarial Fees - Gen,20000,2011
Staff CRB/Police Reports,598084,2011
Bmf Swimming Pool Maintenance,403.86,2013
Highway Traffic Signals and Systems Energy,326476.2,2012
Highway Winter Ice Prediction Service Charge,111210,2014
Care Leavers Personal Allowance/Support,10657.4,2012
Supply Teachers,931.98,2011
Welfare/Resource Assistants,32603.64,2011
Caretakers,4237.64,2012
Fire Service Feeding At Fires,11339.48,2011
Mgt Fees - Gen,51035.64,2011
School Equipment Inspection/Testing,222594.940000001,2012
DVD's,27999.58,2014
Compulsory Purchase Order Inquiry Costs,1355.42,2012
Vehicle Fuel,154475.8,2011
Norwich Area Transportation Strategy/Northern Distributor Route,2500,2011
Grants To Playgroups,1201.2,2011
Highway Winter Snow Clearing,19769.84,2011
Research & Development,47400,2011
Subscriptions To Other Libraries,10991.68,2012
Toilet Rolls/Requisites,57.52,2011
Printing Stationery and Photocopying,1395976.7,2013
Bmf Fire Alarms,88842.46,2012
Providing Financial Assistance to Service Users,159185.46,2011
Equipment General -  Excluding Computer Hardware,990,2011
Direct Payment - Day Care Services / Supported Activities,13168.14,2011
Educational Materials,39908.38,2011
Library Books - Junior Non Fiction,50429.98,2012
Insurance Costs,2120,2014
Conservation Material,11725.6,2012
Development Of Community Care Services,3298,2011
Compact Discs,19295.28,2011
Boiler Servicing,2124207.6,2012
Supported Living,27550432.7400003,2012
Pathological/Medical Practitioners,32235.8,2011
Construction Costs - New Buildings,102742.22,2012
Adaptation/Improvement-Existing Buildings,36458.2,2014
Highway Rechargeable Works Payments,221299.32,2014
Allocation of Contingency Provision,178318.96,2011
Bmpp Electrical Installation Testing,454931.56,2014
Community Based Assessments,78631.6,2013
Vehicle Abuse/Wear & Tear Costs,81345.84,2013
Staff Interview Expenses,8737.8,2011
Schools Building Maintenance Buyback,28762.42,2011
"Road Fund, Driving & Operators Licences",10009.52,2014
Agency Staff - Admin/Chief Officers - Scale K +,13021.18,2014
Library Books - Junior Fiction,151872.8,2012
Gas (mains supplied),28093.02,2014
Feasibility Studies,15000,2011
Grants To Private Individuals,2458,2014
Agency Staff - Home Care Assistants,14589.58,2013
Grant Payments,5129703.34,2011
Highway Bridge Maintenance,718799.76,2014
Highway Kerb Footway and Cycleway Repairs,353921.86,2013
Consultants Fees and Charges,323511.62,2012
Discretionary Added Years & Pension Strain Payments,70416.08,2013
Private Contractor Site Operation Payments,46998075.58,2011
Direct Payment - One Off Payment To Carers,14805.2,2014
Accommodation Works/Contract,9160,2013
Library Books General,36250.04,2011
Interest Paid on External Loans,1577910.96,2012
Payments To Photographers,6900,2011
Contributions To Third Parties,4600,2014
Bmf Boiler Servicing,129537.3,2012
Adoption Panel Expenses,16665.4,2011
Short Term Care Relief Scheme,2121.8,2011
Child In Care Residential Home In Norfolk,4242967.78,2014
Medical Requisites & Drugs Etc,61428.92,2013
Purchase Of Major Software,27670.18,2013
Day Care / Supported Activities,6698910.04000001,2013
Short-term Vehicle Hire,75180.7600000001,2013
Highway Surveys B Roads,37021.48,2012
Library Books-Standing Orders,1191.34,2013
Fixed Price Vehicle Maintenance,312282.6,2012
Sundry Purchases,48802.88,2011
Bmf Electrical Installation Testing,222419.02,2014
Highway Fencing Repairs,8744.94,2014
Firefighter,20038.6,2013
Certificate - Environment Control Systems,173123.34,2011
Operational Equipment & Expenses  - School Clusters,868,2012
Pens To Retired Employees,30061.04,2012
Contact Arrangements,14176.18,2014
Site Works Buildings,3670,2011
Highway Grass Cutting,1274653.1,2011
Sessional Tutors,1500,2012
Computer Stationery,10217.6,2011
Refuse Collection Costs,85680.94,2011
Purchase Of Equipment,151977.94,2012
Purchase Of Exhibits,1170,2011
Protective Clothing and Uniforms,150060.4,2014
Fire Alarms,303099.200000001,2012
Grants To Other Bodies,103041.58,2011
Equipment Purchases,1770769.2,2012
Consultants Fees,136244.24,2014
Reroofing,218136,2011
Library Books - Large Print,177045.18,2011
Highway Lighting Repairs,56264.94,2012
Other Expenditure,9742.2,2014
Highway Cats Eyes,14640.98,2011
Learning Resources Purchases,83979.72,2011
Highway Verge Hedge and Tree Maintenance,1491.78,2011
Internal Recharge Laboratory Testing,1200,2012
Martineau Management Consultancy & Training - Catering & Hotel Cost,29919.3,2011
Management Fees - General,5636099.52,2012
Highway Structures Maintenance,-4254744.96,2014
Highway Grass Cutting,1007954.34,2012
Bmpp School Equipment Inspection/Test,281029.62,2013
Materials Purchases,2920574.34,2014
Prompting Service,15787.2,2011
Building Maintenance & Repairs,2560931.32,2013
Certificate - Environment Control Systems,530198.94,2012
Internal Recharge Footways Kerbs,2000,2014
Fixed Price Vehicle Maintenance,546507.92,2011
Phones-Chronically Sick and Disabled Persons Act,7170.22,2011
Sundry Purchases,153290.66,2012
Council Tax / Business Rates Payments,3976.5,2014
Highway Lighting Repairs,10342,2011
Reroofing,669008.44,2012
Library Books - Large Print,151040.78,2012
Catering Supplies,5655.9,2013
Learning Resources Purchases,55485.78,2012
Highway Verge Hedge and Tree Maintenance,7905.18,2012
Fire Alarms,525252.2,2011
Purchase Of Equipment,2213762.4,2011
Highway Traffic Signals and Systems Upgrade Works,42468.34,2013
Refuse Collection Costs,160211.46,2012
Highway Road Sign Maintenance,61447.64,2013
Publicity-Advertising,81128.46,2011
Equipment Purchases,1684484.88,2011
Staff Advertising  Expenses,228300.56,2014
Non Staff Advertising - Statutory,70191.26,2014
Education (Schools) Recoupment Payments,495875.72,2013
Foster Care Retainer Pay,100462.28,2014
Staff Interview Expenses,1370.14,2012
Marketing Design Costs,206930.78,2014
Supported Living,33310680.4800006,2011
Disturbance Payment,1440,2013
Boiler Servicing,1845291.04000001,2011
Higher Education Places Payments,96813.58,2011
Grants To Voluntary & Social Enterprises,119414.24,2014
Contribution To Other Bodies,8992,2011
Allocation of Contingency Provision,6026,2012
Construction Costs - New Buildings,4417811.74,2011
Leaving Care Act Furniture/Equipment,1808,2011
Interest Paid on External Loans,52702222.38,2011
Catering Staff,1049.54,2013
Library Books General,102651.84,2012
Boiler & Heating Repl M&E,3006403.14,2013
Mobile Phone Other,11813.38,2011
Swimming Pool Plant Replacement,46927.3,2011
Construction Costs - Roads - HOPS,124197.74,2013
Library Books - Junior Fiction,142254.7,2011
Bmpp Fencing,9447.66,2014
Private Contractor Site Operation Payments,44813727.62,2012
Agency Staff - Admin & Clerical - Scale A to J,1144391.64,2013
Consultants Fees and Charges,367631.4,2011
Grant Payments,5886064.74,2012
Telephone Rental & Calls,1986113.9,2012
Agency Staff - Premises Manual,232.04,2011
Road Maintenance Contractor Payments,1982382.86,2012
Contract Cleaning-Non NCS,1300,2011
Agency Staff - Caretakers,6131.68,2011
Electrical Rewiring,58346.1,2011
Operational Staff - Scale A to J,340555.100000001,2012
Building / Planning Applications,220821.78,2013
Minimum Revenue Provision - Fixed Asset Depreciation (99600),55441,2011
Pension Commuted Lump Sum,1331529.8,2012
Bmf Electrical & Mechanical Maintenance,129984.12,2014
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,9797.02,2012
Contract Cleaning & Other Cleaning Services,26739.54,2014
Special Transitional Grant Expenditure,689688,2011
Bmf Asphalting,14959.98,2012
Agency Staff - Social Services Operational-Other1 April,775663.86,2012
Custody Fees,178689.5,2014
Foster Care Child In Care Holiday Allowance,1660,2012
Highway Surveys Footways/Cycleways,72640.74,2014
Staff Conference Expenses - Other,2718.08,2011
Legal Expenses Land,4820,2014
Bmpp Security Systems,24028.78,2012
Consultants Design Fees,2520,2014
Bmf Lifts Maintenance & Repairs,17341.6,2014
Staff Subsistence & Conference Expenses,303017.16,2012
Other Indirect Employee Expenses,353358.76,2011
Highway Routine Maintenance Up Front Charge,938,2014
School Academy Payments,256131,2014
Board & Lodging,35535.48,2011
"Own Disbursements, Other",23450,2014
Highway General Cleansing,279.16,2011
Child In Care Other,33519.96,2012
Accommodation,5200,2011
Child In Care Agency Fostering,21346254,2014
Cost of Providing Short Term Breaks,35732.1,2013
Highway Traffic Signals and Systems Accident Damage,153103.12,2013
Conversion Works,12000,2013
Construction Costs-Mobile Classrooms,3000258.64,2014
Recharge to KG1062 for Capital Funded by Revenue,4000,2012
Direct Payment - Equipment Purchases,4000,2013
General Equipment/Tools/Materials-Purchase,107282.36,2011
Vehicle  Leasing Costs,287108.4,2011
Land Agents Fees,2810,2013
Direct Payment - Domiciliary Care,364069.96,2011
Private Finance Initiative Payments,10709018.84,2011
Communications Renewals Fund,3620.9,2011
Other Expenses,244620.12,2014
Premises Manual,28301.94,2012
Tree Planting/Landscaping Works,481028.68,2011
Payments to Organisations Providing Services To NCC,28748329.4000005,2011
Construction Costs Roads Other,52120.98,2012
Staff Car & Cycle Allowances,4518.36,2012
Transfer or Contribution to Earmarked Reserves,360,2013
Highway Patching to Carriageway,979879.18,2014
School House Maintenance.,18500.86,2012
Agency Staff - Admin/Chief Officers - Scale K and Above,16295.84,2014
Bmf Plant Replacements,18056.96,2012
Cost of Licenses & Subscriptio,1168,2012
Direct Payment - Domiciliary Care,430028.82,2012
Staff Conference Expenses Travel & Subsistence,6713.4,2011
Sponsored Child Minding,3236.76,2011
Other Capital,227740.34,2013
Internal Recharge- Highways SAMS Signs,1000,2014
Vehicle  Leasing Costs,978348.98,2012
General Equipment/Tools/Materials-Purchase,3961,2012
Highway Drainage Repairs,57410.08,2014
Call System Service Contract,5360.76,2011
Bmpp Boiler Servicing,351846.879999999,2012
Child In Care Other,87656.58,2011
Non Staff Public Transport Costs,14453460.8,2014
Accreditation,9200,2011
Phone Rentals,131569.96,2011
School House Maintenance.,37325.24,2011
Social Services Operational-Burnham,4205.64,2012
Premises Manual,10089.88,2011
Tree Planting/Landscaping Works,11550,2012
Private Finance Initiative Payments,22077694.54,2012
Own Disbursements Other,82365.62,2013
Animal Feeding Stuffs,4928,2011
Staff Car & Cycle Allowances,34704.56,2011
Construction Costs Roads Other,58813.18,2011
Payments to Organisations Providing Services To NCC,795578.76,2012
Cost of Sales,70667.48,2014
Anglian Water - Land Drainage Precept,346102,2011
Premises Insurance,6254.64,2013
Internal Recharge Schools,50652,2013
Pension Commuted Lump Sum,288046.38,2011
Contract Transport Hire,2611956.54,2011
D Care/Sup Act Person Bud,2605.54,2011
Bmpp Minor Building Repairs,205003.42,2014
Bmf Tank Clean/Water System Disinf,26296.18,2012
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,8605.02,2011
Preliminary Design Fees,15000,2011
Agency Staff - Caretakers,3918,2012
Road Maintenance Contractor Payments,2598832.74,2011
Telephone Rental & Calls,2991667.9,2011
Redundancy & Pension Payments,3225,2012
Operational Staff - Scale A to J,620688.259999999,2011
Private Voluntary Independent School Pre-school & Playgroup,10931835.44,2013
Electrical Rewiring,8041.96,2012
Construction Costs - Roads - Amey,61897.12,2013
Highway Scanner Machine Road Surface Condition Survey,422245,2011
Ext Highways - Utilities Trench & Cover Repairs,3620.1,2014
Exhibition Expenses,8196.5,2011
Agency Staff - Social Services Operational-Other1 April,145506.84,2011
Foster Care Child In Care Holiday Allowance,14906,2011
Alterations To Service - Other,2306.98,2013
Personal Budget - Day Care,2849839.44,2013
Staff Subsistence & Conference Expenses,439395.42,2011
Other Indirect Employee Expenses,132922.34,2012
Oil & Lubricants,2316,2011
Bmf Equipment Inspection/Testing,52271.84,2013
Highway Weed spraying,385046.24,2013
